"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"somclid_prkm"
"ENSMUSG00000026241_Nppc"	0.43	0.21	8.96	1.36	8.185	9.43	6.235	5.92	8
"ENSMUSG00000041624_Gucy1a2"	0.47	1.31	1.86	1.935	4.685	9.575	10.135	8.59	10
"ENSMUSG00000014776_Nol3"	1.165	1.08	7.48	10.04	1.7	3.925	4.475	5.04	6
"ENSMUSG00000034471_Caskin2"	4.225	3.25	10.16	9.16	2.02	0.595	0.81	1.475	5
"ENSMUSG00000003974_Grm3"	0.01	0	0.2	0.355	10.065	9.33	6.045	3.845	8
"ENSMUSG00000035365_4930547N16Rik"	9.715	7.84	7.35	1.805	1.26	0.44	0.245	0.115	3
"ENSMUSG00000045498_Pcdhb3"	0.04	0.09	3.13	8	10.015	6.115	5.055	5.17	7
"ENSMUSG00000074892_B3galt5"	0.075	0.02	0.06	0.43	2.165	5.745	7.17	10.01	10
"ENSMUSG00000068115_Ninl"	9.835	10.06	5.76	3.585	1.955	0.895	0.88	1	2
"ENSMUSG00000020057_Dram1"	0.93	1.71	10.2	2.15	0.94	0.49	0.385	0.665	4
"ENSMUSG00000039835_Nhsl1"	2.39	3.14	5.64	9.65	4.455	1.285	0.74	0.76	5
"ENSMUSG00000045005_Fzd5"	7.565	10.2	7.88	6.09	1.05	0.54	0.54	0.61	3
"ENSMUSG00000014813_Stc1"	0.56	0.09	0.79	1.62	9.66	10.135	6.27	2.655	8
"ENSMUSG00000030922_Lyrm1"	2.15	1.34	2.81	3.255	8.34	8.525	10.115	9.48	9
"ENSMUSG00000070866_Zfp804a"	0.005	0.01	0.67	5.03	8.305	8.79	9.76	9.935	9
"ENSMUSG00000038248_Sobp"	0.14	0.34	2.47	7.8	10.11	8.44	6.835	6.46	7
"ENSMUSG00000062632_Gm12588"	10.085	10.22	1.31	0.645	0.735	0.315	0.145	0.205	1
"ENSMUSG00000024301_Kifc5b"	7.655	10.23	4.15	2.25	1.36	0.555	0.535	0.3	2
"ENSMUSG00000049303_Syt12"	0.48	0.51	1.38	0.43	2.005	7.82	10.145	9.12	10
"ENSMUSG00000020256_Aldh1l2"	0.51	0.35	2.53	9.59	8.355	5.435	3.96	3.045	7
"ENSMUSG00000029333_Rasgef1b"	0.85	0.8	2.78	4.175	9.225	10.11	9.855	9.935	9
"ENSMUSG00000031351_Zfp185"	6.905	10.28	1.1	0.51	0.58	0.125	0.065	0.08	1
"ENSMUSG00000060716_Plekhh1"	2.93	5.4	10.29	6.78	2.025	1.29	1.04	1.04	4
"ENSMUSG00000022833_Ccdc14"	9.49	10.3	5.63	3.05	1.71	1.025	0.875	0.89	2
"ENSMUSG00000062296_Trank1"	0.235	0.09	0.19	0.105	9.525	7.605	7.24	9.795	9
"ENSMUSG00000074865_Zfp934"	8.63	10.31	6.37	5.56	2.335	0.945	1.425	1.175	3
"ENSMUSG00000036743_Psma8"	10.055	9.55	1.04	0.265	0.315	0	0	0	1
"ENSMUSG00000054321_Taf4b"	10.09	9.66	2.49	0.825	0.77	0.865	1.095	1.165	1
"ENSMUSG00000021998_Lcp1"	0.935	0.88	10.37	2.43	0.745	0.425	0.4	0.73	5
"ENSMUSG00000039037_St6galnac5"	0.035	0.05	2.11	2.565	10.355	9.96	7.96	8.705	8
"ENSMUSG00000033276_Stk36"	1.145	1.73	7.95	10.22	3.875	1.61	1.23	1.375	5
"ENSMUSG00000031737_Irx5"	0.1	0.25	9.98	8.93	2.19	2.195	1.77	1.635	5
"ENSMUSG00000037280_Galnt6"	9.475	1.75	1.86	0.295	0.285	0.07	0.04	0.065	1
"ENSMUSG00000020638_Cmpk2"	1.325	0.65	1.82	3.38	5.14	9.37	9.84	10.255	10
"ENSMUSG00000056870_Gulp1"	1.28	2.54	9.79	10.415	1.725	0.7	0.765	1.105	5
"ENSMUSG00000026389_Steap3"	9.08	3.2	0.63	0.23	0.29	0.29	0.24	0.16	1
"ENSMUSG00000027276_Jag1"	2.665	3.05	9.17	10.2	2.085	1.06	0.97	0.67	5
"ENSMUSG00000028885_Smpdl3b"	9.935	3.82	2.02	0.415	0.5	0.205	0.08	0.08	1
"ENSMUSG00000034912_Mdga2"	0.02	0.01	0.43	1.68	7.295	10.22	9.76	6.94	9
"ENSMUSG00000062526_Mppe1"	1.24	2.11	4.93	3.375	2.505	4.98	7.555	10.33	10
"ENSMUSG00000020181_Nav3"	0.065	0.06	1.03	5.01	10.12	10.355	6.96	3.93	8
"ENSMUSG00000022763_Aifm3"	3.72	3.09	0.91	1.28	1.475	2.485	3.365	10.315	10
"ENSMUSG00000037606_Osbpl5"	0.925	0.75	3.23	7.65	10.14	9.7	8.115	9.8	8
"ENSMUSG00000016150_Odz1"	0.04	0.04	0.1	0.38	6.305	10.43	8.465	6.16	9
"ENSMUSG00000006342_Susd2"	3.985	2.45	1.48	1.15	0.85	6.53	8.48	10.175	10
"ENSMUSG00000048772_Tmem53"	1.77	0.9	2.31	1.87	2.165	3.885	6.855	10.035	10
"ENSMUSG00000068748_Ptprz1"	0.13	0.21	2.06	2.405	10.44	6.12	4.645	3.155	8
"ENSMUSG00000039043_2610034B18Rik"	3.155	2.5	10.54	5.25	0.805	1.765	2.43	2.445	5
"ENSMUSG00000022221_Ripk3"	9.79	3.61	0.76	0.26	0.245	0.08	0.015	0.095	1
"ENSMUSG00000020185_E2f7"	9.61	9.56	7.79	3.705	1.405	0.185	0.085	0.04	3
"ENSMUSG00000028536_2610528J11Rik"	9.88	4.74	0.18	0	0.19	0	0.015	0	1
"ENSMUSG00000033420_Antxr1"	1.005	1.26	10.56	7.93	4.85	2.745	2.195	3.02	5
"ENSMUSG00000004038_Gstm3"	8.93	9.18	0.09	0.01	0.11	0.015	0.025	0.01	1
"ENSMUSG00000030226_Lmo3"	0.005	0	0.93	1.715	10.27	7.925	7.415	6.145	8
"ENSMUSG00000026163_Sphkap"	0.07	0.3	0.26	0.29	4.87	8.9	10.55	10.13	10
"ENSMUSG00000032702_Kank1"	5.07	10.6	9.07	4.585	1.66	0.88	0.525	0.915	3
"ENSMUSG00000027353_Mcm8"	9.695	10.61	7.01	2.15	2.075	1.385	1.345	1.19	2
"ENSMUSG00000035557_Krt17"	9.755	0.7	0.01	0.04	0.03	0.005	0.025	0.005	1
"ENSMUSG00000058586_Serhl"	9.42	10.32	9.03	3.23	1.46	0.935	1.175	1.965	3
"ENSMUSG00000063698_Sfxn4"	0.705	3.09	5.61	3.235	2.865	5.485	6.85	10.39	10
"ENSMUSG00000064090_Vrk2"	8.205	8	10.62	5.5	1.555	0.56	0.42	0.48	3
"ENSMUSG00000068869_Gm12258"	0.61	1.53	3.01	7.265	9.395	9.16	7.575	10.155	8
"ENSMUSG00000030507_Dbx1"	0.02	0.24	10.64	5.485	0.375	0.005	0	0.005	5
"ENSMUSG00000009092_Derl3"	8.4	9.04	0.94	0.93	0.365	3.485	10.31	6.055	1
"ENSMUSG00000045975_C2cd2"	1.105	2.28	5.28	3.76	6.335	9.79	10.515	6.43	9
"ENSMUSG00000062209_Erbb4"	0.015	0.01	1.58	4.45	3.42	7.705	10.45	10.02	10
"ENSMUSG00000033849_B3galt2"	0.005	0.01	1.54	3.695	7.475	9.305	10.635	9.415	9
"ENSMUSG00000038811_Gngt2"	9.055	7.1	0.27	0.025	0.205	0.05	0.035	0	1
"ENSMUSG00000040280_Ndufa4l2"	9.89	0.77	0.1	0.075	0.19	0.41	0.3	0.205	1
"ENSMUSG00000078591_Hs3st4"	0.065	0.05	0.23	0.54	10.51	9.855	8	6.975	8
"ENSMUSG00000036249_Rbm43"	10.555	5.3	3.16	1.935	0.895	2.76	3.335	5.59	1
"ENSMUSG00000074158_C330019L16Rik"	5.705	10.69	2.91	2.02	1.675	0.78	0.835	1.025	2
"ENSMUSG00000026779_Mastl"	10.465	10.71	6.08	2.45	1.32	0.72	0.635	0.365	2
"ENSMUSG00000020435_Osbp2"	0.34	0.1	0.61	0.92	3.335	10.47	9.73	7.465	10
"ENSMUSG00000039316_Rftn1"	1.875	2.47	5.27	1.385	10.64	5.985	3.905	3.51	7
"ENSMUSG00000020151_Ptprr"	0.09	0.01	0.99	0.52	9.34	10.46	8.575	7.095	9
"ENSMUSG00000089774_Slc5a3"	0.885	1.51	2.14	2.15	4.315	6.26	6.44	10.345	10
"ENSMUSG00000044952_Kctd21"	1.25	1.2	2.99	5.34	4.175	5.66	7.79	10.565	10
"ENSMUSG00000050875_A730017C20Rik"	0.005	0.01	5.67	3.665	10.685	3.245	3.08	3.265	7
"ENSMUSG00000050965_Prkca"	0.355	0.63	1.42	3.49	10.645	10.255	7.9	5.445	8
"ENSMUSG00000002147_Stat6"	9.52	10.76	3.67	4.435	0.415	0.25	0.13	0.26	2
"ENSMUSG00000039831_Arhgap29"	5.05	4.22	10.16	10.32	1.375	0.665	0.51	0.685	4
"ENSMUSG00000002190_Clgn"	5.9	4.49	0.73	0.7	5.105	9.36	10.655	8.5	10
"ENSMUSG00000071424_Grid2"	0.03	0.01	1.42	1.355	4.53	10.205	10.625	8.465	10
"ENSMUSG00000032733_Snx33"	0.665	1.01	10.85	7.795	1.12	0.63	0.51	0.76	5
"ENSMUSG00000041782_Lad1"	9.885	5	0.84	0.32	0.425	0.115	0.08	0.055	1
"ENSMUSG00000050447_Lypd6"	1.19	0.35	1.18	1.69	4.935	10.43	8.755	7.945	9
"ENSMUSG00000032035_Ets1"	0.995	2.94	10.86	8.86	1.22	0.885	0.54	0.585	5
"ENSMUSG00000052560_Cpne8"	5.745	2.38	3.29	0.825	10.795	3.9	2.795	2.37	7
"ENSMUSG00000028289_Epha7"	0.755	1.85	6.41	10.48	6.145	8.33	7.935	6.155	7
"ENSMUSG00000031861_Lpar2"	7.755	10.87	5.3	4.85	2.34	1.39	1.145	0.82	2
"ENSMUSG00000034164_Emid1"	3.755	5.97	10.88	3.02	1.6	1.69	0.945	0.315	4
"ENSMUSG00000046733_Gprc5a"	5.25	10.88	2.43	0.245	0.155	0.16	0.115	0.09	2
"ENSMUSG00000040714_Klc3"	10.535	8.97	1.18	0.5	0.45	0.28	0.175	0.045	1
"ENSMUSG00000046814_Gchfr"	9.685	2.36	3.51	0.68	0.685	0.475	0.76	0.58	1
"ENSMUSG00000074872_Ctxn2"	0	0.01	0	0.03	3.975	8.66	7.725	10.905	10
"ENSMUSG00000028024_Enpep"	0.1	0.97	10.94	3.985	0.65	0.16	0.04	0.025	5
"ENSMUSG00000051242_Pcdhb9"	0.01	0.03	1.85	4.505	10.895	6.63	5.63	5.14	8
"ENSMUSG00000024112_Cacna1h"	0.61	0.67	2.51	8.94	10.79	3.485	1.825	1.79	7
"ENSMUSG00000028047_Thbs3"	4.265	3.05	2.38	2.69	10.515	1.32	0.71	2.14	7
"ENSMUSG00000030087_Klf15"	2.9	3.1	0.99	0.68	4.1	4.645	7.61	10.605	10
"ENSMUSG00000021730_Hcn1"	0.055	0.13	0.47	0.685	2.02	6.745	10.095	10.225	10
"ENSMUSG00000044167_Foxo1"	9.275	10.97	4.29	3.375	1.58	0.985	0.755	0.68	2
"ENSMUSG00000011382_Dhdh"	9.195	9.67	3.35	1.305	0.59	0.23	0.165	0.18	2
"ENSMUSG00000048304_Slitrk3"	0.02	0.28	0.76	2.47	8.12	10.375	10.055	10.755	9
"ENSMUSG00000058420_Syt17"	1.285	1.98	1.74	1.17	5.78	10.3	10.735	6.565	9
"ENSMUSG00000000567_Sox9"	0.29	0.86	10.99	7.865	3.885	1.705	1.01	1.265	5
"ENSMUSG00000038128_Camk4"	0.155	0.13	0.72	0.715	7.16	10.895	9.39	6.4	9
"ENSMUSG00000034591_Slc41a2"	0.155	0.24	2.94	2.96	6.635	10.92	9.08	6.145	9
"ENSMUSG00000023411_Nfatc4"	4.67	11.02	5.6	6.655	1.77	0.745	0.625	0.83	3
"ENSMUSG00000015312_Gadd45b"	10.055	3.21	1.17	3.4	2.525	1.82	1.65	1.37	1
"ENSMUSG00000055862_Izumo4"	0.29	0.65	2.25	3.83	6	3.465	4.025	10.975	10
"ENSMUSG00000054662_Ano9"	8.235	11.05	0.55	0.16	0.16	0	0.01	0	1
"ENSMUSG00000036792_Mbd5"	0.97	1.44	3.57	7.33	8.195	7.575	8.47	10.765	8
"ENSMUSG00000042846_Lrrtm3"	0.015	0.02	0.92	2.7	8.09	9.77	10.685	11.015	9
"ENSMUSG00000047878_A4galt"	7.825	4.93	11.06	6.12	0.735	0.19	0.085	0.21	4
"ENSMUSG00000035506_Slc12a8"	7.745	11.07	0.25	0.14	0.39	0.19	0.265	0.265	1
"ENSMUSG00000033102_Cdc14b"	7.3	11.08	4	2.115	1.5	0.83	1.34	2.775	2
"ENSMUSG00000060568_Fam78b"	0.085	0.23	2.27	9.28	11.075	7.255	5.915	5.715	7
"ENSMUSG00000070498_Tmem132b"	0.035	0.07	0.26	0.575	5.495	8.7	10.91	7.685	9
"ENSMUSG00000024479_Mal2"	2.385	1.87	0.2	0.07	5.125	11.035	8.44	5.455	9
"ENSMUSG00000046743_Fat4"	0.025	0.12	8.05	9.95	9.07	3.515	1.67	1.09	6
"ENSMUSG00000021596_Mctp1"	0.035	0.14	0.21	0.09	3.34	9.27	10.73	10.855	10
"ENSMUSG00000022900_Ildr1"	6.715	11.12	0.39	0.465	0.19	0.09	0.05	0.01	1
"ENSMUSG00000031139_Mcf2"	3.15	11.12	0.52	0.175	1.205	2.29	2.73	3.6	1
"ENSMUSG00000008999_Bmp7"	2.015	1.96	11.13	4.36	1.34	1.005	0.885	0.825	5
"ENSMUSG00000029122_Evc"	6.99	11.13	7.04	4.3	0.9	0.315	0.265	0.76	3
"ENSMUSG00000032515_Csrnp1"	10.395	3.07	3.62	2.55	1.38	0.635	0.89	1.96	1
"ENSMUSG00000070695_Cntnap5a"	0.02	0.03	0.05	1.745	6.9	9.36	10.51	9.93	9
"ENSMUSG00000022491_Glycam1"	0	0	0.09	0	11.075	5.755	4.605	7.39	8
"ENSMUSG00000079055_Slc8a3"	0.11	0.21	0.92	1.645	5.17	11.115	10.535	10.035	10
"ENSMUSG00000019823_Mical1"	5.5	9.18	11.16	10.03	1.705	0.55	0.385	0.63	4
"ENSMUSG00000019966_Kitl"	0.905	0.78	9.39	4.67	11.11	9.3	5.42	3.31	7
"ENSMUSG00000028391_Wdr31"	10.75	8.12	3.14	0.925	2.795	2.585	1.59	1.345	1
"ENSMUSG00000046658_Zfp316"	0.735	1.2	5.4	10.815	8.55	5.66	5.065	5.04	7
"ENSMUSG00000068876_Cgn"	10.985	7.75	1.7	0.815	3.955	3.59	2.61	1.93	1
"ENSMUSG00000029516_Cit"	6.815	11.23	6.7	2.045	0.655	1	1.28	2.005	3
"ENSMUSG00000043496_Tril"	0.085	0.29	5.32	10.88	3.12	1.555	0.845	0.95	6
"ENSMUSG00000050967_Creg2"	0.125	0.3	0.38	0.44	2.91	9.045	8.27	10.96	10
"ENSMUSG00000066800_Rnasel"	0.08	0.62	7.49	10.86	3.12	0.4	0.11	0.155	5
"ENSMUSG00000003526_Prodh"	10.055	8.45	5.49	2.1	1.505	0.365	0.38	0.525	2
"ENSMUSG00000005580_Adcy9"	0.78	1.19	1.29	2.23	5.6	8.16	10.23	10.79	10
"ENSMUSG00000024337_Psmb9"	10.975	4.22	1.51	0.51	1.455	1.52	1.11	0.45	1
"ENSMUSG00000070407_Hs3st3b1"	1.155	1.05	11.25	9.73	4.435	3.41	2.65	2.145	5
"ENSMUSG00000027075_Slc43a1"	5.88	5.79	11.29	4.01	0.885	0.145	0.095	0.11	4
"ENSMUSG00000040929_Rfx3"	1.265	4	6.7	10.35	3.81	1.835	1.225	1.05	5
"ENSMUSG00000027641_Rbl1"	4.75	6.35	11.33	4.05	1.795	0.395	0.255	0.385	4
"ENSMUSG00000047747_Rnf150"	0.03	0.09	2.94	6.82	6.325	8.345	9.59	11.005	9
"ENSMUSG00000033316_Galnt9"	1.035	2.95	1.54	3.205	11.285	10.17	10.16	10.6	9
"ENSMUSG00000025815_Dhtkd1"	7.845	11.36	5.2	2.225	1.815	0.96	1.02	1.55	2
"ENSMUSG00000026344_Lypd1"	0.095	0.07	0.5	0.43	7.36	9.97	11.17	8.975	9
"ENSMUSG00000039313_AF529169"	0.46	0.72	0.82	3.26	4.245	9.455	11.055	9.87	10
"ENSMUSG00000041779_Tram2"	2.525	3.22	6.48	10.895	1.38	0.565	0.295	0.49	5
"ENSMUSG00000002249_Tead3"	1.45	2.19	11.01	10.585	2.57	0.77	0.44	0.995	5
"ENSMUSG00000079254_Itprip"	0.965	2.64	11.38	10.345	2.965	1.13	0.855	0.715	5
"ENSMUSG00000039298_Cdk5rap2"	6.98	11.39	9.26	6.7	4.05	1.34	1.03	1.51	3
"ENSMUSG00000040139_9430038I01Rik"	11.22	7.39	4.84	3.695	3.705	2.155	1.62	1.13	1
"ENSMUSG00000027597_Ahcy"	11.285	11.1	5.53	3.635	1.975	0.63	0.82	1.445	2
"ENSMUSG00000057092_Fxyd3"	0.16	0.02	11.44	11.215	1.635	0.725	0.295	0.18	5
"ENSMUSG00000024798_Htr7"	0.02	0.02	0.05	0.785	7.87	11.215	10.375	10.905	9
"ENSMUSG00000026475_Rgs16"	3.7	5.24	11.45	5.525	3.835	1.17	0.94	1.025	4
"ENSMUSG00000038766_Gabpb2"	8.335	11.31	11.45	7.825	1.83	0.685	0.6	0.835	3
"ENSMUSG00000036856_Wnt4"	0.3	0.26	11.46	8.16	0.65	0.59	0.18	0.16	5
"ENSMUSG00000031557_Plekha2"	9.265	5.16	5.32	4.75	1.82	0.555	0.385	0.665	3
"ENSMUSG00000041552_Ptchd1"	0.395	0.49	0.14	0.88	5.375	9.47	11.195	10.435	10
"ENSMUSG00000055675_Kbtbd11"	2.115	5.23	1.58	2.05	6.61	6.805	7.91	11.22	10
"ENSMUSG00000026824_Kcnj3"	1.515	3.52	0.55	1.35	5.4	7.265	8.225	11.275	10
"ENSMUSG00000048078_Odz4"	0.52	2.15	4.82	8.47	7.03	11.425	10.36	10.18	8
"ENSMUSG00000030041_D6Mm5e"	11.215	4.29	1.96	0.25	0.15	0.02	0.005	0.015	1
"ENSMUSG00000003559_As3mt"	8.74	11.51	9.47	4.445	0.595	0.14	0.145	0.115	3
"ENSMUSG00000034765_Dusp5"	3.56	3.58	11.51	1.51	1.86	1.6	1.035	0.895	4
"ENSMUSG00000024940_Ltbp3"	0.64	0.87	8.17	6.225	3.55	4.63	6.005	11.155	7
"ENSMUSG00000041147_Brca2"	10.175	11.52	6.2	2.215	1.405	0.86	0.775	0.965	2
"ENSMUSG00000000627_Sema4f"	2.26	1.78	1.18	1.735	11.475	7.385	6.07	9.16	8
"ENSMUSG00000034110_Kctd7"	1.155	1.02	1.76	3.375	7.625	10.385	11.4	8.77	9
"ENSMUSG00000050830_Vwc2"	0.05	0.12	0.1	0.395	4.4	8.305	8.99	11.115	10
"ENSMUSG00000040195_Tmem194"	9.095	11.54	9.03	4.185	1.295	0.31	0.235	0.34	3
"ENSMUSG00000045679_Pqlc3"	7.75	11.54	3.41	1.64	2.29	1.64	1.055	1.73	2
"ENSMUSG00000022432_Smc1b"	11.1	11.55	2.89	0.14	0.19	0.105	0.095	0.07	1
"ENSMUSG00000043259_Fam13c"	1.86	1.4	3.83	9.935	10.13	9.885	9.645	11.275	8
"ENSMUSG00000031626_Sorbs2"	0.485	1.04	5.15	10.97	8.15	7.02	5.725	4.685	7
"ENSMUSG00000021959_Lats2"	0.545	1.51	7.36	11.335	5.775	2.2	3.09	6.46	6
"ENSMUSG00000030555_Ttc23"	3.795	3.98	11.61	6.295	2.305	1.015	0.95	1.025	4
"ENSMUSG00000034612_Chst11"	1.34	1.51	11.62	8.25	10.69	11.1	11.31	9.52	7
"ENSMUSG00000047712_Ust"	1.32	1.34	4.76	3.505	5.885	10.815	11.55	10.625	10
"ENSMUSG00000044676_Zfp612"	1.21	2.75	3.36	2.985	5.18	5.58	6.66	11.4	10
"ENSMUSG00000036446_Lum"	0.005	0.01	3.16	11.16	6.63	6.76	3.785	8.23	7
"ENSMUSG00000037295_Ldlrap1"	11.27	7	6.11	4.065	1.07	0.4	0.195	0.285	2
"ENSMUSG00000055003_Lrtm2"	0.06	0.06	0.04	0.05	2.51	8.1	9.045	11.65	10
"ENSMUSG00000039579_Grin3a"	0.02	0.07	0.61	1.255	11.675	9.98	7.53	7.105	8
"ENSMUSG00000030701_Plekhb1"	11.69	6.14	1.28	0.475	1.475	1.575	1.59	2.445	1
"ENSMUSG00000032940_Rbm11"	0.415	0.28	1.07	0.61	4.455	9.975	11.44	10.015	10
"ENSMUSG00000038172_Ttc39b"	11.125	10.84	1.28	0.77	0.735	2.75	4.41	6.13	1
"ENSMUSG00000020105_Lrig3"	4.61	6.33	11.26	11.56	4.14	1	0.61	0.71	4
"ENSMUSG00000003812_Dnase2a"	7.12	7.06	11.73	4.175	1.185	0.57	0.46	0.655	4
"ENSMUSG00000078317_F8a"	1.715	1.5	3.56	7.055	9.96	10.34	11.49	11.525	8
"ENSMUSG00000025357_Dgka"	9.77	9.13	5.33	2.96	2.505	0.885	0.705	1.15	2
"ENSMUSG00000031189_Aff2"	0.045	0.21	1.03	4.325	6.35	10.26	11.61	10.13	9
"ENSMUSG00000041372_B4galnt3"	10.505	10.8	2.75	1.63	0.585	0.135	0.085	0.075	1
"ENSMUSG00000040543_Pitpnm3"	0.075	0.06	0.16	0.17	5.275	11.46	9.08	9.31	10
"ENSMUSG00000024087_Cyp1b1"	0.625	0.25	5.65	11.495	2.845	1.835	0.99	2.875	6
"ENSMUSG00000026094_Stk17b"	7.83	11.78	6.38	2.51	1.865	0.69	0.605	0.485	2
"ENSMUSG00000038668_Lpar1"	2.285	3.18	11.78	10.84	2.31	0.875	0.53	0.85	5
"ENSMUSG00000060988_Galnt13"	0.045	0.04	0.53	2.585	7.02	11.735	11.565	9.11	9
"ENSMUSG00000030527_Crtc3"	1.14	2.07	11.8	9.675	3.71	2.495	1.845	2.02	5
"ENSMUSG00000049521_Cdc42ep1"	2	2.94	11.8	8.485	1.56	0.875	0.535	0.87	5
"ENSMUSG00000050556_Kcnb1"	1.15	0.62	1.24	0.655	4.12	11.765	11.01	8.89	10
"ENSMUSG00000027359_Slc27a2"	7.735	11.83	0.34	0.33	2.12	3.54	4.8	5.12	1
"ENSMUSG00000029483_Tmem132b"	0.045	0.07	0.34	0.615	6.675	10.175	11.475	8.66	9
"ENSMUSG00000044674_Fzd1"	0.395	1.34	10.08	11.66	4.37	3.1	3.365	2.85	5
"ENSMUSG00000026646_Suv39h2"	11.645	11.89	9.77	4.75	2.535	1.065	0.8	0.68	3
"ENSMUSG00000040613_Apobec1"	10.96	3.38	1.25	0.345	0.845	0.63	0.485	0.515	1
"ENSMUSG00000000266_Mid2"	0.05	0.24	2.27	2.655	7.065	9.135	10.27	11.275	10
"ENSMUSG00000040896_Kcnd3"	0.02	0.01	0.7	0.905	6.525	10.65	11.785	11.225	10
"ENSMUSG00000022421_Nptxr"	0.52	0.27	0.1	0.355	7.67	10.835	7.88	5.435	9
"ENSMUSG00000031292_Cdkl5"	1.65	1.47	1.95	1.79	5.34	11.555	9.505	6.735	9
"ENSMUSG00000079510_Gm11133"	0	0	0.43	1.265	7.105	10.925	9.22	5.935	9
"ENSMUSG00000022773_Ypel1"	3.15	4.52	11.94	10.51	8.935	1.49	0.625	0.63	5
"ENSMUSG00000050052_2610019F03Rik"	5.725	8.92	2.29	1.265	2.04	2.87	5.43	11.675	10
"ENSMUSG00000042644_Itpr3"	11.835	5.6	1.15	0.91	0.755	0.275	0.21	0.205	1
"ENSMUSG00000043518_Rai2"	0.265	0.36	3.02	7.875	11.13	6.92	9.03	11.45	8
"ENSMUSG00000048015_Neurod4"	0.015	0.04	10.37	11.445	0.215	0.14	0.205	0.35	5
"ENSMUSG00000062822_4833420G17Rik"	9.87	11.96	8.04	9.03	3.48	1.6	1.35	2.25	3
"ENSMUSG00000031963_Bmper"	0.195	1.94	4.45	5.64	9.56	11.88	10.59	8.21	8
"ENSMUSG00000017697_Ada"	9.67	2.59	3.77	2.47	1.325	0.26	0.175	0.105	1
"ENSMUSG00000033342_4833424O15Rik"	0.01	0	0.21	0.285	4.155	11.835	11.02	7.34	9
"ENSMUSG00000074264_Amy1"	0.02	0.19	0.31	0.815	11.475	2.57	1.855	6.02	8
"ENSMUSG00000054871_Tmem158"	2.46	0.72	1.46	2.44	11.985	7.435	4.315	4.795	8
"ENSMUSG00000029088_Kcnip4"	0.075	0.13	0.33	0.48	5.685	9.385	9.725	11.84	10
"ENSMUSG00000032609_Klhdc8b"	2.975	1.24	4.45	5.36	11.795	9.005	8.25	9.475	8
"ENSMUSG00000038168_Leprel1"	0.4	2.11	6.94	11.525	1.83	0.74	0.55	1.03	5
"ENSMUSG00000044067_Gpr22"	0.02	0.01	0.29	4.54	4.99	7.845	9.445	11.955	10
"ENSMUSG00000045083_Lingo2"	0	0	0.22	0.62	9.795	11.795	11.985	9.455	9
"ENSMUSG00000051243_Islr2"	1.485	0.9	4.99	4.255	11.99	5.295	3.12	2.33	7
"ENSMUSG00000057110_Cep110"	6.735	12.04	10.88	5.6	2.54	0.55	0.355	0.735	3
"ENSMUSG00000022574_Naprt1"	11.21	4.09	9.19	4.43	0.945	0.315	0.195	0.35	3
"ENSMUSG00000029032_Arhgef16"	11.495	5.5	0.5	0.25	0.56	0.46	0.19	0.185	1
"ENSMUSG00000027890_Gstm4"	11.87	9.49	6.73	3.505	2.175	2.2	1.395	0.87	2
"ENSMUSG00000039396_Neil3"	5.5	9.59	12.08	2.725	1.005	0.08	0.01	0.045	3
"ENSMUSG00000040848_Sft2d2"	6.07	8.5	12.08	5.9	2.345	0.95	0.62	0.795	4
"ENSMUSG00000044279_Crb3"	10.91	9.66	1.02	0.44	0.93	0.715	0.385	0.39	1
"ENSMUSG00000056917_Sipa1"	8.345	9.29	12.08	8.85	1.64	1.13	0.765	0.86	4
"ENSMUSG00000027204_Fbn1"	0.68	0.9	5.22	11.74	2.885	4.27	3.135	4.43	6
"ENSMUSG00000033446_Lpar6"	6.615	5.91	12.12	6.965	3.775	0.845	0.575	0.85	4
"ENSMUSG00000025262_Fam120c"	0.59	0.95	1.25	1.56	7.66	10.97	11.74	11.57	10
"ENSMUSG00000048216_Gpr85"	0.175	0.31	1.87	6.215	12.065	11.225	9.485	8.83	8
"ENSMUSG00000027004_Frzb"	0.22	1.37	12.18	3.51	2.435	1.445	1.41	1.73	5
"ENSMUSG00000031872_Bean1"	0.01	0.05	0.86	2.405	4.825	12.11	11.525	9.92	10
"ENSMUSG00000030494_Rhpn2"	9.615	6.08	8.78	9.785	2.7	1.115	1.005	1.14	4
"ENSMUSG00000031274_Col4a5"	0.3	1.22	12.19	5.99	3.87	0.855	0.565	1.32	5
"ENSMUSG00000001249_Hpn"	11.465	3.72	0.31	0.11	0.28	0.195	0.26	0.695	1
"ENSMUSG00000015879_Fam184b"	0.615	0.2	0.17	0.12	6.045	12.08	12.115	4.415	9
"ENSMUSG00000045215_Asxl3"	0.3	0.62	2.75	8.95	12.145	7.735	4.8	3.13	7
"ENSMUSG00000018604_Tbx3"	3.84	8.73	12.25	5.95	1.19	0.615	0.365	0.32	4
"ENSMUSG00000029381_Shroom3"	7.43	10.17	12.25	11.07	2.76	1	0.89	0.71	4
"ENSMUSG00000043065_Spice1"	9.06	12.26	8.87	3.73	2.965	1.275	1.545	2.5	3
"ENSMUSG00000044026_Tmem20"	10.12	11.92	8.73	2.1	1.2	0.33	0.365	0.44	3
"ENSMUSG00000036225_Kctd1"	0.545	0.73	5.97	12.03	11.005	8.88	8.74	9.295	7
